,Unnamed: 0,縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,戶數,人口數,男性人口數,女性人口數,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數,幼年人口(0~14),青年人口(15~24),壯年人口(25~44),中年人口(45~64),老年人口(65~),資料時間
1243,1243,63000,臺北市,63000060,大同區,63000060-012,南芳里,1732,3960,1806,2154,83.84,2.29,17804.87,50.23,20.83,29.4,141.17,549,377,1093,1166,775,111Y09M
1244,1244,63000,臺北市,63000060,大同區,63000060-013,民權里,2711,6544,3105,3439,90.29,2.41,30790.8,52.9,25.91,26.99,104.15,1109,589,1877,1814,1155,111Y09M
1245,1245,63000,臺北市,63000060,大同區,63000060-014,景星里,1079,2417,1189,1228,96.82,2.24,21120.61,49.29,14.02,35.27,251.54,227,190,668,761,571,111Y09M
1246,1246,63000,臺北市,63000060,大同區,63000060-015,隆和里,1560,3560,1719,1841,93.37,2.28,29609.91,49.83,22.77,27.06,118.85,541,322,1038,1016,643,111Y09M
1247,1247,63000,臺北市,63000060,大同區,63000060-016,蓬萊里,2115,4742,2226,2516,88.47,2.24,30600.66,49.35,18.8,30.55,162.48,597,353,1440,1382,970,111Y09M
1248,1248,63000,臺北市,63000060,大同區,63000060-017,國順里,1150,2798,1420,1378,103.05,2.43,21504.38,48.75,17.38,31.37,180.43,327,220,803,858,590,111Y09M
1249,1249,63000,臺北市,63000060,大同區,63000060-018,國慶里,1929,4476,2146,2330,92.1,2.32,38109.19,48.56,19.58,28.97,147.97,590,361,1393,1259,873,111Y09M
1250,1250,63000,臺北市,63000060,大同區,63000060-019,揚雅里,2375,4261,2319,1942,119.41,1.79,63965.53,42.94,9.33,33.61,360.43,278,324,1114,1543,1002,111Y09M
1251,1251,63000,臺北市,63000060,大同區,63000060-020,斯文里,2115,4578,2246,2332,96.31,2.16,44527.01,43.78,12.06,31.72,263.02,384,403,1266,1515,1010,111Y09M
1252,1252,63000,臺北市,63000060,大同區,63000060-021,鄰江里,2585,6210,3074,3136,98.02,2.4,26834.1,47.68,16.48,31.2,189.32,693,467,1838,1900,1312,111Y09M
1253,1253,63000,臺北市,63000060,大同區,63000060-022,至聖里,3362,7395,3521,3874,90.89,2.2,32050.87,47.34,13.39,33.95,253.57,672,655,2069,2295,1704,111Y09M
1254,1254,63000,臺北市,63000060,大同區,63000060-024,老師里,2256,5430,2712,2718,99.78,2.41,9012.9,44.15,14.15,30.0,212.01,533,481,1635,1651,1130,111Y09M
1255,1255,63000,臺北市,63000060,大同區,63000060-025,重慶里,2612,6404,3018,3386,89.13,2.45,14874.86,45.15,16.02,29.13,181.75,707,663,1818,1931,1285,111Y09M
1256,1256,63000,臺北市,63000060,大同區,63000060-026,保安里,1909,4294,2065,2229,92.64,2.25,23910.68,46.7,15.34,31.36,204.45,449,389,1286,1252,918,111Y09M
1257,1257,63000,臺北市,63000070,萬華區,63000070-001,福星里,2681,5141,2407,2734,88.04,1.92,21979.76,49.62,15.28,34.34,224.76,525,409,1384,1643,1180,111Y09M
1258,1258,63000,臺北市,63000070,萬華區,63000070-002,萬壽里,1808,3096,1493,1603,93.14,1.71,17377.05,54.26,13.85,40.41,291.73,278,196,725,1086,811,111Y09M
1259,1259,63000,臺北市,63000070,萬華區,63000070-003,西門里,1958,3421,1563,1858,84.12,1.75,24402.07,47.52,12.76,34.76,272.3,296,226,955,1138,806,111Y09M
1260,1260,63000,臺北市,63000070,萬華區,63000070-004,新起里,3301,6491,3041,3450,88.14,1.97,51203.37,48.13,11.94,36.19,303.25,523,498,1858,2026,1586,111Y09M
1261,1261,63000,臺北市,63000070,萬華區,63000070-005,菜園里,2819,5816,2865,2951,97.09,2.06,18456.7,47.65,15.03,32.62,217.06,592,421,1716,1802,1285,111Y09M
1262,1262,63000,臺北市,63000070,萬華區,63000070-006,青山里,2844,5666,2774,2892,95.92,1.99,16287.88,44.61,10.75,33.87,315.2,421,420,1633,1865,1327,111Y09M
1263,1263,63000,臺北市,63000070,萬華區,63000070-007,富民里,2271,4636,2262,2374,95.28,2.04,41213.65,54.89,12.36,42.53,344.05,370,317,1308,1368,1273,111Y09M
1264,1264,63000,臺北市,63000070,萬華區,63000070-008,福音里,1844,3677,1783,1894,94.14,1.99,32974.92,47.32,14.62,32.69,223.56,365,276,1167,1053,816,111Y09M
