,Unnamed: 0,縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,戶數,人口數,男性人口數,女性人口數,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數,幼年人口(0~14),青年人口(15~24),壯年人口(25~44),中年人口(45~64),老年人口(65~),資料時間
522,522,65000,新北市,65000060,新店區,65000060-039,新德里,1269,2645,1222,1423,85.87,2.08,34920.26,48.1,12.43,35.67,286.94,222,193,757,836,637,111Y09M
523,523,65000,新北市,65000060,新店區,65000060-040,張北里,4160,9179,4323,4856,89.02,2.21,38655.58,48.17,17.18,30.99,180.45,1064,788,2597,2810,1920,111Y09M
524,524,65000,新北市,65000060,新店區,65000060-041,五■里,3472,7619,3534,4085,86.51,2.19,24488.16,45.85,13.23,32.62,246.6,691,665,2104,2455,1704,111Y09M
525,525,65000,新北市,65000060,新店區,65000060-042,新安里,1974,4023,1846,2177,84.8,2.04,43271.56,49.94,13.94,36.0,258.29,374,320,1084,1279,966,111Y09M
526,526,65000,新北市,65000060,新店區,65000060-043,忠誠里,1082,2414,1180,1234,95.62,2.23,39674.58,53.76,15.41,38.34,248.76,242,198,652,720,602,111Y09M
527,527,65000,新北市,65000060,新店區,65000060-044,中正里,2622,6013,2769,3244,85.36,2.29,29728.47,50.85,13.72,37.13,270.57,547,538,1548,1900,1480,111Y09M
528,528,65000,新北市,65000060,新店區,65000060-045,中華里,2039,4443,2095,2348,89.22,2.18,10918.13,51.28,16.21,35.07,216.39,476,399,1193,1345,1030,111Y09M
529,529,65000,新北市,65000060,新店區,65000060-046,仁愛里,954,1987,937,1050,89.24,2.08,29082.87,53.67,14.54,39.13,269.15,188,182,516,595,506,111Y09M
530,530,65000,新北市,65000060,新店區,65000060-047,百忍里,1604,3689,1689,2000,84.45,2.3,43813.39,54.48,15.87,38.61,243.27,379,313,966,1109,922,111Y09M
531,531,65000,新北市,65000060,新店區,65000060-048,百和里,1381,3179,1517,1662,91.28,2.3,27079.98,47.04,13.37,33.67,251.9,289,309,833,1020,728,111Y09M
532,532,65000,新北市,65000060,新店區,65000060-049,福德里,1624,3818,1770,2048,86.43,2.35,46120.02,45.84,12.18,33.65,276.18,319,335,1040,1243,881,111Y09M
533,533,65000,新北市,65000060,新店區,65000060-050,百福里,1668,3666,1704,1962,86.85,2.2,36138.88,50.93,15.56,35.36,227.25,378,285,1077,1067,859,111Y09M
